Timestamp,name,twitter,country,message,JP Translation
8/3/2021 22:46:32,Zach,@OImperialis,United-States,"Hi Sora! Congratulations on your 4th anniversary! In 4 years you’ve touched the hearts of almost a million people, and your hard work has affected the lives of millions! Thank you for everything Sora!",そらちゃん、こんにちは! 4周年おめでとうございます！ 4年間で約100万人の人の心を動かし、あなたの頑張りが何百万人もの人の人生に影響を与えてきました！そらちゃん、いつもありがとう！
8/3/2021 22:48:28,wrsw,@wrsw7,Canada,"Congratulations on your 4th Anniversary, Sora-chan!",そらちゃん、4周年おめでとうございます！
8/3/2021 23:19:37,Kevin Shi,@KevinShi3,United-States,"Hi Sora-Chan, happy 4th anniversary!. Thank you so much for the cute and relaxing streams and helping lead Hololive. I hope you continue to enjoy streaming and bringing joy to all your fans!",こんにちは、そらちゃん。4周年おめでとうございます！いつも可愛くて癒される配信をしてくれて、ホロライブを盛り上げてくれて本当にありがとうございます。これからも楽しく配信して、ファンの皆さんに幸せを届けてくださいね。
8/3/2021 23:25:49,Adrian,@Draian_Ryo,Colombia,"Feliz cuarto aniversario Sora!!! Gracias por tus grandes esfuerzos, sin tu existencia talvez nada de lo que Hololive ha logrado sería posible. De verdad eres una Diosa!!!",そらちゃん、4周年おめでとうございます！ そらちゃんがなければ、ホロライブが成し遂げたことはおそらく不可能だったでしょう。そらちゃんは、まさに女神です！
8/3/2021 23:47:13,Micotaku,@WaveStarfish,Australia,Thank you for helping to create something amazing!,すごいものに作る手助けをしてくれてありがとう！
8/4/2021 0:52:20,森義弘,@yoshihiro669,United-States,Hi Sora Chan! Thank you for being there for us and giving your fans a huge smile every time you stream in the past four years. More years to come! Congratulations again! ,そらちゃん、こんにちは！この4年間、私たちのそばにいてくれて、笑顔にくれてありがとう。これからもよろしくね。改めて、おめでとう！
8/4/2021 1:30:21,くぅちゃん,@sorak_ren1233,Japan,"そらちゃん。4周年おめでとう！！
今年は少しバタバタしてて中々配信に行けなかったけど変わらずにずっと応援してるし、元気貰ってるよ！
5年目も止まらないそらちゃんをずっと応援してます！！",
8/4/2021 1:50:35,Wan,@09876543zy,Malaysia,Terima kasih untuk 4 tahun yang hebat ,この四年間ありがとうございます！
8/4/2021 2:50:55,三食のりたま,@RGB_noritama,Japan,"そらちゃん4周年おめでとう！！
そらちゃんの事を知ったのは2019年の1月頃にニコニコでそらちゃんの切り抜きを
観たのがきっかけで、ずっとそらちゃんの成長を見守ってきたけど変わらずに
そらちゃんの事が大好きです。
色々大変な世の中でやりたい事が制限されている中で頑張ってるそらちゃんを
見てると元気を分けてもらえています。いつも本当にありがとう！
",
8/4/2021 4:37:46,Ken,@kenkenoptc,Philippines,Happy 4th Anniversary! Thank you for making us happy <3,４周年おめでとう！笑顔にしてくれてありがとう。<3
8/4/2021 4:50:44,あんでるさん,@anderusan_srtm,Japan,"そらちゃん、活動4周年おめでとうございます!
悩んだり、上手く行かないことがあったり、落ち込むこともあるかも知れません。
それでも日々楽しく元気に、癒しや和みを届けたいという貴方の活動に本当に救われています。
ありがとう、そして5年目も今まで以上に応援させてくださいませ。
貴方の望む「ときのそら」でいられますように。

5年目もそらともの皆さんと一緒に楽しみながらゆっくり走っていきましょー!",
8/4/2021 5:04:40,shiina mashiro ,,United-States,"Sora-chan, thank you so much for your hardwork. You've become the role model of all the vtubers because of your perseverance. Thank you for giving us smiles. We love you and keep up the great work.","いつもありがとうそらちゃん！
そらちゃんは立派なV-TUBERになりましたね。笑顔にしてくれてありがとう。
そらちゃん大好き！これからも頑張って！"
8/4/2021 6:35:07,Lishi ,@3_lishi,Dominican-Republic,"Happy 4th Anniversary Tokino Sora! It's been a long time, but when you're having fun time goes flying. Sora-Chan, having you as a Hololive Member is blessing. Thank you for all you've done! 🐻💙","４周年おめでとうございますときのそらさん！
長い道のりでしたね。これからも楽しんでください。
いつもありがとうございます。🐻💙"
8/4/2021 7:24:43,ARASI-K,@Karasi122,Taiwan,"そらちゃん！4周年おめでとうございます！(๑╹ᆺ╹)ﾋﾟｮｰ
もう4年経ちました、早いですね！私もそらともとして3年間そらちゃんの動画や配信を見ながら過ごしました！そらちゃんのおかけで毎日楽しい一日！
そらちゃんの夢が叶う時を見届けたい、それが私の夢です！これからもずっと応援します！
そらちゃんも健康で毎日楽しい活動すること祈ります！改めて4周年おめでとうございます！(๑ ^ ᆺ ^)",
8/4/2021 8:20:14,feng,Soratomo__feng,Taiwan,"Hello sora chan! Happy 4th anniversary to you! I'm a big fans of your,I follow your stream since october 2017. Until now i still watching your stream!  I will always support you! ぬん　ぬん!","こんにちはそらちゃん！４周年おめでとうございます！
大ファンです！２０１７年からずっと見てるよ！
これからも応援しています！ぬんぬん！"
8/4/2021 9:43:32,Ferris,,United-States,Congratulations! I hope you're having a great time!,おめでとう！楽しい時間を過ごせるように。
8/4/2021 10:30:30,Gustavo Araujo,@GustavoWolf19,Brazil,"For myself, you were my company when I was getting ready for work, and watching you improve your english at each stream, filled me with motivation. I'm happy to be a Soratomo, happy 4th anniversary.","仕事の準備をしているときに、そらちゃんの放送を見てる。
そらちゃんの英語を上達を見て、私は誇りと思いました。
そらともになってよかった。４周年おめでとうございます！"
8/4/2021 10:33:07,R-karma,@HyperXsaber,Hong Kong,"空媽祝你生日快樂(*ﾟ∀ﾟ*)雖然我是由你2020年的專輯[ON STAGE]才認識你,你的聲音給我一個很特別的印象,祝你今年也是美好的一年",そらちゃん誕生日おめでとう（* ﾟ∀ﾟ *）2020年のアルバム[ON STAGE]でお会いしたばかりですが、とても特別な印象を与えてくれました。素晴らしい一年をお祈りします。
8/4/2021 10:34:39,aceofspades,,United-States,"Sora, thank you for your hard work and dedication to Hololive. Without your strength in the early days, Hololive might not even be here today. I love your relaxing streams and your beautiful voice!","そらへ
いつもありがとうございます。おかげさまで、ホロライブがいる。そらのリラックスな放送と素敵な歌声も大好きです。"
8/4/2021 10:51:14,Andrés,,Chile,"Sorachan! Thankyou for your hard work, I really love your style! Keep going strong!",そらちゃんのスタイルが本当に大好きです！いつもありがとうございます。これからもがんばってください。
8/4/2021 12:47:43,Alyssa,,Italy,"Buon compleanno, Sora chan! I'm so happy and proud to watch you reach this. Thank you for all the fun you gave me in four years. Let's have the best Anniversary ever!",4周年おめでとう！そらちゃんがここまで到達するのを見て、とても嬉しく、誇りと思います。4年間、楽しい時間を過ごさせてくれてありがとう。最高のアニバーサリーにしましょうね。
8/4/2021 16:01:44,Longlen,@longlen9,Thailand,สวัสดีค่ะ! เราชอบเวลาที่คุณมีความสุขมากเลยค่ะ ตอนคุณร้องเพลง เล่นเกม คอลแลบ คอนเสิร์ต หรือแม้กระทั่งไลฟ์พูดคุย มันจะมีอะไรบางอย่างมาทำให้เรายิ้มตามคุณตลอดเลย ต่อจากนี้ก็จะสนับสนุนเท่าที่ทำได้ค่ะ!,"こんそめー！
そらちゃんの笑顔を大好き。笑顔にしてくれてありがとう！
そらちゃんの放送は楽しい。これからも応援しています！"
8/4/2021 18:19:10,Matthies7,@matthies7,United-States,"Happy anniversary Sora! I hope you have a good day and I love watching your streams, especially when you play minecraft or collab with AZKi. Thank you for being amazing!",そらちゃん、アニバーサリーおめでとう！私はそらちゃんの配信を見るのが大好きで、特にあなたがマイクラをあそぶしたり、AZKiとコラボしたりするのが好きです。すごい存在でいてくれてありがとう！
8/4/2021 18:52:16,JorgeRR,@JorgeRR3168,Canada,"Happy 4th Anniversary Sora!!! I love your streams and your music, thank you for being such a great inspiration and may the next year take you to greater heights!",そらちゃん4周年おめでとう！！！ そらちゃんの配信と音楽が大好きです。素晴らしいインスピレーションを与えてくれてありがとう！来年はもっと高くなることを願っています！
8/4/2021 19:18:38,BaKamen,@yukimikamen,Australia,４周年おめでとう!  いつも頑張ってくれてありがとう! これからも応援します!,
8/4/2021 21:41:30,Cobalnite,@Cobalnite,Peru,"Congratulations on your 4th anniversary Sora, it's impressive how far you've come, and I'm sure you'll shine even brighter. I'm really glad I found you, thank you for everything. そらちゃんが大好きです(๑╹ᆺ╹)",そらちゃん、4周年おめでとう！これまで出来た事がいっぱいありましたね、これからも絶対にもっともっと輝いていくことでしょう。そらちゃんに出会えて本当に良かったです、いつもありがとうね。そらちゃんが大好きです(๑╹ω╹๑ )
8/4/2021 23:34:29,Marsh Mallow,@marshmallowmalv,Indonesia,4 years has now passed since you first started your journey. I'm sure it has been a wonderful one and I pray there will be a lot more to come! Wish you all the best forevermore!,そらちゃんの道の始めから 4 年が過ぎた。きっと素晴らしいものになっていると思いますし、これからもたくさんのことが起こることを祈っています。いつまでもお元気でいてください。
8/5/2021 3:13:50,Elyune,@KoewanaiUsana,Indonesia,"Tokino Sora-chan-sama
Your voice and song always cheering my tired, sad, and lonely heart
I feel really grateful for your livestream and will always support you as one of soratomo
Truly, Thank you.","そらちゃんの声と歌は、疲れた心と悲しい心と寂しい心をいつも元気づけてくれます。
本当に配信を感謝していますし、これからもそらともの一員として応援しています。
本当に、ありがとうございました。"
8/5/2021 3:14:49,おんどぅる,@On__dru,Japan,そらちゃん4周年おめでとう！そらちゃんと一緒に頑張ってきてもう4年！4年目は色んな事が目まぐるしく変わって大変だったかもだけど今でも元気に健康に4周年を迎えられてすごく嬉しいよ！ここからは5年目！5周年までみんなで笑顔で止まるんじゃねぇぞ！,
8/5/2021 4:25:56,れーよん31,@3Reyon1,Japan,"４年ってどのくらいの期間だと感じますか？
五輪やサッカーW杯が出来ます。
大学部生が全員入れ替わります。
十代の少年少女の心身が大きく成長します。
私がそらちゃんに出会ったのは高校２年生、１７歳の時でした。あれからあなたを一途に追い、応援し、心の底から愛してきました。
横アリの夢は私の、そらともみんなの夢でもあります。そらちゃんと共に、ずっとそばにいますよ。４周年ありがとう。おめでとう。",
8/5/2021 7:17:37,婆瑠多　誠司,@Balta_N_seiji_N,Japan,"僕はそらちゃんの真摯で努力家なところが大好きです！
そらちゃんの成長していく姿に、毎回とても勇気づけられていて、僕もまだまだ頑張らないとなと思っています！
これからも、頑張って下さい‼︎",
8/5/2021 7:33:50,Frat Sunrise,@FratSunrise1,Japan,4周年……本当におめでとうございます！,
8/5/2021 8:01:11,BurnedAsh@灰,Burned_Ash,Japan,"そらちゃん、活動4周年おめでとうございﾏｯ！
こういう記念日をお祝いできることが何より嬉しい、何なら自分の誕生日より嬉しい……
今までの4年の歩みが、これからの5年目の背中を押してくれることでしょう。これからも頑張ってくださいな。応援してますよ！",
8/5/2021 9:26:54,Holofan Lee,@SakuraBot30001,,Happy 4th Anniversary Sora-chan! Its been a pleasure being able to watch you and listen to all your amazing songs. Your hard work and persistence is inspiring and I wish you even more success to come!,そらちゃん4周年おめでとう。そらちゃんを見ると、そらちゃんの歌たくさん聴くことができて、とても嬉しいです。そらちゃんの一生懸命さと粘り強さに感動しました。そらのご成功をお祈りします。
8/5/2021 15:43:31, Wise Toad / 賢い ヒキガエル,@WiseToad_,United-States,"4周年記念おめでとう！ I don't speak Japanese well, but I've been learning for Sora-Chan! そらが一生懸命な姿は私に感動された、本当に頑張って輝いています。お会いできて、 そらともになって本当に良かったです。日本語が分からなくても、あなたの笑顔を見ると、何となく嬉しくなってます！楽し時間をくれてありがとう！ずっとずっと～応援します！",4周年記念おめでとう！ 私は日本語をうまく話せませんですが、そらちゃんのために勉強しています。そらが一生懸命な姿は私に感動された、本当に頑張って輝いています。お会いできて、 そらともになって本当に良かったです。日本語が分からなくても、あなたの笑顔を見ると、何となく嬉しくなってます！楽し時間をくれてありがとう！ずっとずっと～応援します！
8/5/2021 19:00:42,SaberOnes,@Marcell09460623,Indonesia,Congrats on the 4th anniversary Sora chan. thank you for your hard work for the past 4 years. i wish you'll get your 1 million subs on youtube this year and once again thank you Sora Chan (๑╹ᆺ╹),そらちゃん4周年おめでとうございます。4年間お疲れ様でした。今年は100万登録者出来ることを祈っています。改めてそらちゃんありがとう(๑╹ᆺ╹๑ )
8/6/2021 7:25:09,レフ,,Japan,４周年おめでとうございます！いつもかわいくて癒やされる配信ありがとうございます！前向きで明るいそらちゃんが大好きで、応援しています！５年目も前向きで明るくがんばってください！,
8/6/2021 8:02:43,Riku Akamine,@i_akamine,Philippines,"Tokino Sora, first member of Hololive, we congratulate for your 4th anniversary in Hololive. Because of you, Hololive grew, you never gave up even you have 13 viewers back then. We always love you.","ホロライブの最初、ときのそらさん、４周年おめでとうございます。
そらさんのおかげで、ホロライブは成長しました。初回生放送の来場者数は１３人になってもあきらめなかった。
いつも愛してます。"
8/7/2021 4:08:25,Barraki,@Barrakiiii,Australia,"Hello Sora chan! I love watching you. I love the atmosphere you create. I love your singing. Seeing you try your best motivates me. Once I gain a job, I’ll send my gratitude to you (via superchat).","こんにちはそらちゃん！
そらちゃんの放送をいつも見ています。
そらちゃんの雰囲気が大好きです。
そらちゃんの歌が大好きです。
そらちゃんの一生懸命な姿を見て、私も頑張らないと思います。
就職できたら、感謝の気持ちを伝えます。（スパチャで）"
8/7/2021 5:07:43,Donne,@kdonnenmcl,Philippines,Your voice and streams got me mesmerized and makes my fatigue go away. Knowing you makes me happy that I'm alive. I hope that someday I can repay you somehow. I love you Sora-chan! Happy Anniversary!,"そらちゃんの声と放送を見るとき、疲れが吹っ飛びました。
そらちゃんを知ることで、私は幸せになります。
いつか、感謝の気持ちを伝いたいと思います。
そらちゃん大好き！４周年おめでとう！"
8/7/2021 8:20:54,幽月,@yutsukiPCB,Japan,"そらちゃん4周年おめでとうございます！
そらちゃんの歌やゲームなどの配信、ライブやイベントでの出演等で、そらちゃんが頑張っている姿を見て聴いていて、凄く癒され元気をもらってます！そらちゃんいつもありがとう！
5年目になっても自分らしく元気に楽しく頑張るそらちゃんを応援しています！これからも止まるんじゃねぇぞ！行くぞ横アリ！",
8/7/2021 15:52:32,Ivy Pekai,,United-States,Happy 4th anniversary Sora-chan!!! I always admire how you can sing so beautifully and almost always stay calm and cute.I hope you know that us overseas fans love you!!!,"そらちゃん４周年おめでとう！
こんなにきれいに歌えたり、落ち着いていてかわいいところなと、いつも感心しています。
海外のそらともはそらちゃんが大好き！"
8/7/2021 17:44:10,もん吉,@soratomoProject,Japan,"そらちゃん4周年おめでとう！
私はそらちゃんの配信やtwitterでの書き込みに反応をすることがその日の活力となっていて、そらちゃんのお陰で毎日全力で頑張れています！
絵を描くこともそうだし、「色々と思考して挑戦すること」が最近は本当に楽しくなったなと実感しています(๑╹ᆺ╹)
そらちゃん今後も応援しています、止まるんじゃねーぞ(๑╹ᆺ╹)！",
8/8/2021 2:31:40,e鉄,@E23101004517,Japan,4周年おめでとうございます!そらちゃんを知ってからVの存在を知ることになり、人生の転機の1つになりました。いつもそらとものことを考えてくれてありがとうございます!そのおかげでいつも楽しく過ごせています。横浜アリーナでライブするその時まで今と変わらず応援し続けます!無理はせずに目標に向かって頑張って下さい！,
8/8/2021 7:01:35,うかつ2nd,@2nd35161548,Japan,"そらちゃん活動4周年おめでとうございます！！！！！
いつもTwitterやYoutube、ニコ生でのそらちゃんを見たり聞いたりして元気をもらっています！いつもありがとうございます！！！
これから5年目になりますが無理し過ぎず健康に気をつけてゆっくり元気に活動ファイトです！
これからも楽しく応援とまらねぇぞ〜₍₍ ◝(๑╹ᆺ╹)◟ ⁾⁾",
8/8/2021 8:54:57,Liron Kabizon/Senator Pancakes ,@EpicGladiolus,Israel,"Truthfully, you're the kinda person I could easily become friends with! You're smart, easy to approach and give off a calming aura. And to top it off: YOU'RE HILARIOUS!

Happy 4th Anniversary, Sora!","そらちゃんは私が簡単に友達になれるような人ですよね！
頭が良くて、親しみやすくて、とても穏やかな人と思います。とりあえずほんとに面白い人です！
４周年おめでとうそらちゃん！"
8/9/2021 7:26:35,Faratban Halulep,@halulep,Indonesia,i fall in love with your stream since the first time i see your channel ... i know you since 2018!! dont give up! make hololive and your fans smile with your charm!!!,"２０１８年から初めてそらちゃんのチャンネルをみると、そらちゃんに恋をしました！
これからも頑張ってください！そらちゃんの魅力でホロライブとファンのみなさんを笑顔にしてください。"
8/10/2021 3:53:16,テウィ,@teuu08192178,Japan,4周年おめでとうございます！！　そらちゃんを知ってから毎日が楽しくて希望に溢れてるような気がします、そらちゃんがこれからも楽しく元気に活動できるように応援してます！！,
8/10/2021 5:36:00,Morning,,Philippines,HAPPY ANNIVERSARY GREAT HOLOLIVE GODDESS! we as a collective would like to thank you for persevering through the slow start of hololive! we will continue to support you and your streams.,ホロライブの偉大な女神のそら！４周年おめでとう！そらのいつもホロライブのことをサポートすることは私たちそらともは感謝しています！これからもそらちゃんとそらちゃんの配信も応援します！
8/11/2021 1:48:37,Kuro,@kuromimi_0317,Malaysia,"It's been a great 4 years. Thank you for everything, Sora! I hope that everything will go well for you for the upcoming years! Looking forward to your next streams as always. Once again, thank you.","最高の４年間だったね。今までありがとうそらちゃん。
これからもよろしくお願いします！素晴らしい年になることを願っています。
改めまして、ありがとうこざいます！"
8/11/2021 21:29:07,Arzee,Arzee92253660,Philippines,Happy anniversary Sora. I promise to keep supporting you and your dream of yokohama arena. And promise to watch your concerts if I can.,"４周年おめでとうそらちゃん！
そらちゃんの夢を叶えることを願っています。ずっと応援しています！ライブを絶対見に行きます！"
8/12/2021 3:37:45,Jakklin, @NeyJacqueline,Australia,"Congrats Sora-chan~! 4th Anniversary! I've been supporting you since after your first live and I don't plan to stop! You are my Oshi. I love seeing you on stage, you are amazing. Thank you Sora-chan.","４周年おめでとうそらちゃん！
そらちゃんの最初のライブから応援しています。とまらねーぞ！
そらちゃんのステージを見るのが大好きです。ほんとに素晴らしい！
今までありがとうそらちゃん！"
8/12/2021 9:02:01,るこん,@sky98778,Taiwan,そらちゃん４周年おめでとうございます！これからも応援します(๑╹ᆺ╹)！！,
8/12/2021 22:43:22,Zast,@Zast,Peru,"Thank you for being awesome, we will always root for you. May you achieve all your goals and here's to another great year.","素敵な人になってくれてありがとう！応援しています
そらちゃんの夢の実現できることを願っています。これからもよろしくお願いします！"
8/13/2021 5:15:09,UsagiDubu_,@BunnyJihyo_,Philippines,Congratulations Sora Chan! Your hardwork is definitely paying off. Keep being yourself and the right people will support you ❤,"おめでとうそらちゃん！がんばったね！
これからも自分らして続けてください。ずっと応援しています。"
8/13/2021 5:19:56,Achlys ,@AchlysJekyll,Canada,"Hi, Sora! Happy anniversary! To be honest, I'm a new fan to you, To hololive in general. But I enjoy you alot, And I'd like to contribute to create more nice memories for you. Congratulations!","やぁそらちゃん！４周年おめでとうございます！
私はホロライブの初心者です。そらちゃん大好き！これからもよろしくお願いします。
おめでとう！"
8/13/2021 5:24:53,トンジト,,Indonesia,"Happy 4th anniversary, Sora-chan! Thank you for bringing joy and happiness to all of us. You just need to know that you are precious in every single one of our hearts. おめでとうそらちゃん!!","４周年おめでとうそらちゃん！
喜びと幸福にしてくれてありがとう。そらちゃんは私たちにとって大切な存在です。
おめでとうそらちゃん！"
8/13/2021 5:25:32,Hariz afiq,@kazukun2,Malaysia,"I love you so much, you're like the origin of everything in the hololive production.Hololive will never be Hololive.",そらちゃんが大好きです。おかげさまで、ホロライブがいる！
8/13/2021 5:31:02,Paul,,France,Dear sora chan you always funny and you always take care of us and we are happy to that happy birthday,"そらちゃんへ
そらちゃんは面白くて、いつも私たちの面倒を見てくれる。
それが嬉しいです！
お誕生日おめでとう。"
8/13/2021 5:32:39,Atara Lancer,@Atara_Lancer,Indonesia,"Congratulation for 4th Anniversary, Sora. Keep doing your best for your activities. I will keep supporting you from my deepest heart","４周年おめでとうございますそらさん。
がんばってください。ずっと応援しています。"
8/13/2021 5:35:54,Hetalica,,Indonesia,"Happy 4th Anniversary Tokino Sora. I remembered you as a hardworking girl, and always put your smile to us. We hope for the best future to you and as always, keep it up! Yours truly, one of Soratomo","４周年おめでとうございますときのそらさん。
そらさんは頑張り屋さんで、いつも笑顔を絶やさない人です。成功を祈っています。"
